LGA_NAME16	EmploymentStatus	workers
Migratory - Offshore - Shipping (WA)	Status in employment not stated	8
Break O'Day (M)	Contributing family workers	83
Break O'Day (M)	Employee	1203
Break O'Day (M)	Owner managers of incorporated enterprises	123
Break O'Day (M)	Owner managers of unincorporated enterprises	270
Break O'Day (M)	Status in employment not stated	20
Brighton (M)	Contributing family workers	34
Brighton (M)	Employee	2326
Brighton (M)	Owner managers of incorporated enterprises	137
Brighton (M)	Owner managers of unincorporated enterprises	264
Brighton (M)	Status in employment not stated	42
Burnie (C)	Contributing family workers	119
Burnie (C)	Employee	9208
Burnie (C)	Owner managers of incorporated enterprises	412
Burnie (C)	Owner managers of unincorporated enterprises	437
Burnie (C)	Status in employment not stated	113
Central Coast (M) (Tas.)	Contributing family workers	163
Central Coast (M) (Tas.)	Employee	4507
Central Coast (M) (Tas.)	Owner managers of incorporated enterprises	332
Central Coast (M) (Tas.)	Owner managers of unincorporated enterprises	619
Central Coast (M) (Tas.)	Status in employment not stated	102
Central Highlands (M) (Tas.)	Contributing family workers	54
Central Highlands (M) (Tas.)	Employee	439
Central Highlands (M) (Tas.)	Owner managers of incorporated enterprises	49
Central Highlands (M) (Tas.)	Owner managers of unincorporated enterprises	108
Central Highlands (M) (Tas.)	Status in employment not stated	21
Circular Head (M)	Contributing family workers	155
Circular Head (M)	Employee	2795
Circular Head (M)	Owner managers of incorporated enterprises	199
Circular Head (M)	Owner managers of unincorporated enterprises	404
Circular Head (M)	Status in employment not stated	66
Clarence (C)	Contributing family workers	194
Clarence (C)	Employee	12914
Clarence (C)	Owner managers of incorporated enterprises	789
Clarence (C)	Owner managers of unincorporated enterprises	1362
Clarence (C)	Status in employment not stated	147
Derwent Valley (M)	Contributing family workers	52
Derwent Valley (M)	Employee	1900
Derwent Valley (M)	Owner managers of incorporated enterprises	92
Derwent Valley (M)	Owner managers of unincorporated enterprises	231
Derwent Valley (M)	Status in employment not stated	50
Devonport (C)	Contributing family workers	132
Devonport (C)	Employee	10165
Devonport (C)	Owner managers of incorporated enterprises	505
Devonport (C)	Owner managers of unincorporated enterprises	640
Devonport (C)	Status in employment not stated	150
Dorset (M)	Contributing family workers	134
Dorset (M)	Employee	1559
Dorset (M)	Owner managers of incorporated enterprises	208
Dorset (M)	Owner managers of unincorporated enterprises	309
Dorset (M)	Status in employment not stated	35
Flinders (M) (Tas.)	Contributing family workers	32
Flinders (M) (Tas.)	Employee	268
Flinders (M) (Tas.)	Owner managers of incorporated enterprises	24
Flinders (M) (Tas.)	Owner managers of unincorporated enterprises	76
Flinders (M) (Tas.)	Status in employment not stated	11
George Town (M)	Contributing family workers	38
George Town (M)	Employee	2176
George Town (M)	Owner managers of incorporated enterprises	79
George Town (M)	Owner managers of unincorporated enterprises	130
George Town (M)	Status in employment not stated	44
Glamorgan/Spring Bay (M)	Contributing family workers	59
Glamorgan/Spring Bay (M)	Employee	1027
Glamorgan/Spring Bay (M)	Owner managers of incorporated enterprises	137
Glamorgan/Spring Bay (M)	Owner managers of unincorporated enterprises	211
Glamorgan/Spring Bay (M)	Status in employment not stated	37
Glenorchy (C)	Contributing family workers	152
Glenorchy (C)	Employee	16444
Glenorchy (C)	Owner managers of incorporated enterprises	746
Glenorchy (C)	Owner managers of unincorporated enterprises	1167
Glenorchy (C)	Status in employment not stated	201
Hobart (C)	Contributing family workers	348
Hobart (C)	Employee	44823
Hobart (C)	Owner managers of incorporated enterprises	1943
Hobart (C)	Owner managers of unincorporated enterprises	2672
Hobart (C)	Status in employment not stated	402
Huon Valley (M)	Contributing family workers	179
Huon Valley (M)	Employee	3155
Huon Valley (M)	Owner managers of incorporated enterprises	210
Huon Valley (M)	Owner managers of unincorporated enterprises	650
Huon Valley (M)	Status in employment not stated	65
Kentish (M)	Contributing family workers	75
Kentish (M)	Employee	947
Kentish (M)	Owner managers of incorporated enterprises	90
Kentish (M)	Owner managers of unincorporated enterprises	210
Kentish (M)	Status in employment not stated	37
King Island (M)	Contributing family workers	46
King Island (M)	Employee	505
King Island (M)	Owner managers of incorporated enterprises	73
King Island (M)	Owner managers of unincorporated enterprises	120
King Island (M)	Status in employment not stated	18
Kingborough (M)	Contributing family workers	181
Kingborough (M)	Employee	6471
Kingborough (M)	Owner managers of incorporated enterprises	543
Kingborough (M)	Owner managers of unincorporated enterprises	1175
Kingborough (M)	Status in employment not stated	91
Latrobe (M) (Tas.)	Contributing family workers	72
Latrobe (M) (Tas.)	Employee	2745
Latrobe (M) (Tas.)	Owner managers of incorporated enterprises	172
Latrobe (M) (Tas.)	Owner managers of unincorporated enterprises	315
Latrobe (M) (Tas.)	Status in employment not stated	45
Launceston (C)	Contributing family workers	332
Launceston (C)	Employee	30053
Launceston (C)	Owner managers of incorporated enterprises	1571
Launceston (C)	Owner managers of unincorporated enterprises	1998
Launceston (C)	Status in employment not stated	316
Meander Valley (M)	Contributing family workers	236
Meander Valley (M)	Employee	4137
Meander Valley (M)	Owner managers of incorporated enterprises	334
Meander Valley (M)	Owner managers of unincorporated enterprises	721
Meander Valley (M)	Status in employment not stated	70
Northern Midlands (M)	Contributing family workers	174
Northern Midlands (M)	Employee	3816
Northern Midlands (M)	Owner managers of incorporated enterprises	292
Northern Midlands (M)	Owner managers of unincorporated enterprises	420
Northern Midlands (M)	Status in employment not stated	67
Sorell (M)	Contributing family workers	80
Sorell (M)	Employee	1793
Sorell (M)	Owner managers of incorporated enterprises	155
Sorell (M)	Owner managers of unincorporated enterprises	456
Sorell (M)	Status in employment not stated	36
Southern Midlands (M)	Contributing family workers	115
Southern Midlands (M)	Employee	621
Southern Midlands (M)	Owner managers of incorporated enterprises	65
Southern Midlands (M)	Owner managers of unincorporated enterprises	254
Southern Midlands (M)	Status in employment not stated	37
Tasman (M)	Contributing family workers	39
Tasman (M)	Employee	504
Tasman (M)	Owner managers of incorporated enterprises	22
Tasman (M)	Owner managers of unincorporated enterprises	125
Tasman (M)	Status in employment not stated	19
Waratah/Wynyard (M)	Contributing family workers	134
Waratah/Wynyard (M)	Employee	3053
Waratah/Wynyard (M)	Owner managers of incorporated enterprises	203
Waratah/Wynyard (M)	Owner managers of unincorporated enterprises	368
Waratah/Wynyard (M)	Status in employment not stated	52
West Coast (M)	Contributing family workers	41
West Coast (M)	Employee	1700
West Coast (M)	Owner managers of incorporated enterprises	56
West Coast (M)	Owner managers of unincorporated enterprises	78
West Coast (M)	Status in employment not stated	37
West Tamar (M)	Contributing family workers	142
West Tamar (M)	Employee	2723
West Tamar (M)	Owner managers of incorporated enterprises	257
West Tamar (M)	Owner managers of unincorporated enterprises	597
West Tamar (M)	Status in employment not stated	50
No usual address (Tas.)	Contributing family workers	126
No usual address (Tas.)	Employee	5408
No usual address (Tas.)	Owner managers of incorporated enterprises	613
No usual address (Tas.)	Owner managers of unincorporated enterprises	2817
No usual address (Tas.)	Status in employment not stated	170
Migratory - Offshore - Shipping (Tas.)	Employee	50
Migratory - Offshore - Shipping (Tas.)	Owner managers of incorporated enterprises	3
Alice Springs (T)	Contributing family workers	70
Alice Springs (T)	Employee	10590
Alice Springs (T)	Owner managers of incorporated enterprises	581
Alice Springs (T)	Owner managers of unincorporated enterprises	539
Alice Springs (T)	Status in employment not stated	100
Barkly (R)	Contributing family workers	25
Barkly (R)	Employee	1888
Barkly (R)	Owner managers of incorporated enterprises	86
Barkly (R)	Owner managers of unincorporated enterprises	64
Barkly (R)	Status in employment not stated	38
Belyuen (S)	Employee	33
Central Desert (R)	Contributing family workers	4
Central Desert (R)	Employee	1317
Central Desert (R)	Owner managers of incorporated enterprises	17
Central Desert (R)	Owner managers of unincorporated enterprises	23
Central Desert (R)	Status in employment not stated	8
Coomalie (S)	Contributing family workers	15
Coomalie (S)	Employee	477
Coomalie (S)	Owner managers of incorporated enterprises	39
Coomalie (S)	Owner managers of unincorporated enterprises	39
Coomalie (S)	Status in employment not stated	9
Darwin (C)	Contributing family workers	323
Darwin (C)	Employee	41179
Darwin (C)	Owner managers of incorporated enterprises	2074
Darwin (C)	Owner managers of unincorporated enterprises	1938
Darwin (C)	Status in employment not stated	471
East Arnhem (R)	Contributing family workers	9
East Arnhem (R)	Employee	2508
East Arnhem (R)	Owner managers of incorporated enterprises	27
East Arnhem (R)	Owner managers of unincorporated enterprises	31
East Arnhem (R)	Status in employment not stated	19
Katherine (T)	Contributing family workers	51
Katherine (T)	Employee	3884
Katherine (T)	Owner managers of incorporated enterprises	217
Katherine (T)	Owner managers of unincorporated enterprises	171
Katherine (T)	Status in employment not stated	46
Litchfield (M)	Contributing family workers	168
Litchfield (M)	Employee	14197
Litchfield (M)	Owner managers of incorporated enterprises	510
Litchfield (M)	Owner managers of unincorporated enterprises	607
Litchfield (M)	Status in employment not stated	133
MacDonnell (R)	Contributing family workers	4
MacDonnell (R)	Employee	2051
MacDonnell (R)	Owner managers of incorporated enterprises	15
MacDonnell (R)	Owner managers of unincorporated enterprises	41
MacDonnell (R)	Status in employment not stated	21
Palmerston (C)	Contributing family workers	64
Palmerston (C)	Employee	6355
Palmerston (C)	Owner managers of incorporated enterprises	472
Palmerston (C)	Owner managers of unincorporated enterprises	441
Palmerston (C)	Status in employment not stated	73
Roper Gulf (R)	Contributing family workers	28
Roper Gulf (R)	Employee	1610
Roper Gulf (R)	Owner managers of incorporated enterprises	67
Roper Gulf (R)	Owner managers of unincorporated enterprises	51
Roper Gulf (R)	Status in employment not stated	22
Tiwi Islands (R)	Employee	552
Tiwi Islands (R)	Owner managers of incorporated enterprises	3
Tiwi Islands (R)	Owner managers of unincorporated enterprises	9
Tiwi Islands (R)	Status in employment not stated	3
Victoria Daly (R)	Contributing family workers	16
Victoria Daly (R)	Employee	681
Victoria Daly (R)	Owner managers of incorporated enterprises	31
Victoria Daly (R)	Owner managers of unincorporated enterprises	32
Victoria Daly (R)	Status in employment not stated	20
Wagait (S)	Employee	29
Wagait (S)	Owner managers of incorporated enterprises	7
Wagait (S)	Owner managers of unincorporated enterprises	16
West Arnhem (R)	Contributing family workers	5
West Arnhem (R)	Employee	1732
West Arnhem (R)	Owner managers of incorporated enterprises	22
West Arnhem (R)	Owner managers of unincorporated enterprises	14
West Arnhem (R)	Status in employment not stated	13
West Daly (R)	Employee	526
West Daly (R)	Owner managers of incorporated enterprises	12
West Daly (R)	Owner managers of unincorporated enterprises	4
West Daly (R)	Status in employment not stated	8
Unincorporated NT	Contributing family workers	52
Unincorporated NT	Employee	5870
Unincorporated NT	Owner managers of incorporated enterprises	231
Unincorporated NT	Owner managers of unincorporated enterprises	170
Unincorporated NT	Status in employment not stated	78
No usual address (NT)	Contributing family workers	60
No usual address (NT)	Employee	2493
No usual address (NT)	Owner managers of incorporated enterprises	331
No usual address (NT)	Owner managers of unincorporated enterprises	736
No usual address (NT)	Status in employment not stated	61
Migratory - Offshore - Shipping (NT)	Contributing family workers	4
Migratory - Offshore - Shipping (NT)	Employee	88
Migratory - Offshore - Shipping (NT)	Owner managers of incorporated enterprises	3
Migratory - Offshore - Shipping (NT)	Owner managers of unincorporated enterprises	4
Unincorporated ACT	Contributing family workers	1301
Unincorporated ACT	Employee	201286
Unincorporated ACT	Owner managers of incorporated enterprises	9197
Unincorporated ACT	Owner managers of unincorporated enterprises	7719
Unincorporated ACT	Status in employment not stated	1151
No usual address (ACT)	Contributing family workers	69
No usual address (ACT)	Employee	4344
No usual address (ACT)	Owner managers of incorporated enterprises	805
No usual address (ACT)	Owner managers of unincorporated enterprises	1534
No usual address (ACT)	Status in employment not stated	78
Unincorp. Other Territories	Contributing family workers	49
Unincorp. Other Territories	Employee	2215
Unincorp. Other Territories	Owner managers of incorporated enterprises	93
Unincorp. Other Territories	Owner managers of unincorporated enterprises	272
Unincorp. Other Territories	Status in employment not stated	62
No usual address (OT)	Contributing family workers	3
No usual address (OT)	Employee	92
No usual address (OT)	Owner managers of incorporated enterprises	13
No usual address (OT)	Owner managers of unincorporated enterprises	11
